id,link,label
1,http://espdesign.com.au,redirect
2,http://iamagameaddict.com,redirect
3,http://kalantzis.net,redirect
4,http://slightlyoffcenter.net,redirect
5,http://tubemoviez.com,redirect
6,http://ipl.hk,redirect
7,http://pos-kupang.com/,redirect
8,http://rupor.info,redirect
9,http://officeon.ch.ma/office.js?google_ad_format=728x90_as,redirect
10,http://sunlux.net/company/about.html,redirect
11,http://outporn.com,redirect
12,http://timothycopus.aimoo.com,Trojan
13,http://orbowlada.strefa.pl/text396.htm,redirect
14,http://ruiyangcn.com,redirect
15,http://zkic.com,redirect
16,http://cracks.vg/d1.php,redirect
17,http://juicypussyclips.com,redirect
18,http://nuptialimages.com,redirect
19,http://bezproudoff.cz,redirect
20,http://ceskarepublika.net,redirect
21,http://hotspot.cz,redirect
22,http://www.gmcjjh.org/DHL,Trojan
23,http://nerez-schodiste-zabradli.com,redirect
24,http://nordiccountry.cz,redirect
25,http://nowina.info,redirect
26,http://obada-konstruktiwa.org,redirect
27,http://otylkaaotesanek.cz,redirect
28,http://pb-webdesign.net,redirect
29,http://pension-helene.cz,redirect
30,http://podzemi.myotis.info,redirect
31,http://smrcek.com,redirect
32,http://spekband.com,redirect
33,http://worldgymperu.com,redirect
34,http://zgsysz.com,redirect
35,http://oknarai.ru,redirect
36,http://www.realinnovation.com/css/menu.js,redirect
37,http://hardcorepornparty.com,redirect
38,http://zous.szm.sk,redirect
39,http://noveslovo.com,redirect
40,http://dimsnetwork.com,redirect
41,http://luckyblank.info,redirect
42,http://luckyclean.info,redirect
43,http://luckyclear.info,redirect
44,http://luckyeffect.info,redirect
45,http://luckyhalo.info,redirect
46,http://luckypure.info,redirect
47,http://luckyshine.info,redirect
48,http://luckysuccess.info,redirect
49,http://luckysure.info,redirect
50,http://luckytidy.info,redirect
51,http://nudebeachgalleries.net,redirect
52,http://buffalogoesout.com,redirect
53,http://achren.org,redirect
54,http://associatesexports.com,redirect
55,http://antalya.ru/links/,redirect
56,http://conds.ru,redirect
57,http://img001.com/business/qiji.exe,Trojan
58,http://unalbilgisayar.com,redirect
59,http://www.t-sb.net,redirect
60,http://hanulsms.com,redirect
61,http://semengineers.com,redirect
62,http://srslogisticts.com,redirect
63,http://tendersource.com,redirect
64,http://traff1.com/in.cgi?5,Trojan
65,http://web-olymp.ru,redirect
66,http://oprahsearch.com/scripts/net19.exe,Trojan
67,http://somnoy.com,redirect
68,http://nadegda-95.ru,redirect
69,http://romsigmed.ro,redirect
70,http://spatsz.com,redirect
71,http://svetyivanrilski.com,redirect
72,http://titon.info,redirect
73,http://tophostbg.net,redirect
74,http://vivaweb.org,redirect
75,http://vocational-training.us,redirect
76,http://warco.pl,redirect
77,http://bde.be,redirect
78,http://pwvita.pl,redirect
79,http://roks.ua,redirect
80,http://skgroup.kiev.ua,redirect
81,http://tecnocuer.com,redirect
82,http://tk-gregoric.si,redirect
83,http://tomalinoalambres.com.ar,redirect
84,http://womenslabour.org,redirect
85,http://wroclawski.com.pl,redirect
86,http://xoomer.alice.it/email02/bom.jpg,Trojan
87,http://update.51edm.net/20090728/01.dll,Trojan
88,http://update.51edm.net/20090728/01.kdg,Trojan
89,http://www.xiruz.kit.net/mola.jpg,Trojan
90,http://wfoto.front.ru/fotos.com,Trojan
91,http://ska.energia.cz/download/imer.up,Trojan
92,http://callingcardsinstantly.com/webalizer/050709wareza/crack=17=keygen=serial.html,redirect
93,http://dawnframing.com/webalizer/050709wareza/crack=17=keygen=serial.html,redirect
94,http://free-crochet-pattern.com/webalizer/050709wareza/crack=17=keygen=serial.html,redirect
95,http://js.tongji.linezing.com/1189582/tongji.js,redirect
96,http://adgallery.whitehousedrugpolicy.gov/members/Miley-Cyrus-Nude/default.aspx,Trojan
97,http://www.vvvic.com,redirect
98,http://www.professionalblackbook.com/,redirect
99,http://0koryu0.easter.ne.jp,redirect
100,http://www.whitesports.co.kr,redirect
101,http://typeofmarijuana.com/,redirect
102,http://trafficgrowth.com/,redirect
103,http://thcvaporizer.com/,redirect
104,http://roorbong.com/,redirect
105,http://thcextractor.com/,redirect
106,http://purethc.com/,redirect
107,http://potvaporizer.com/,redirect
108,http://portablevaporizer.com/,redirect
109,http://cannabispicture.com/,redirect
110,http://cannabislyric.com/,redirect
111,http://dp-medien.eu,redirect
112,http://juedische-kammerphilharmonie.de,redirect
113,http://vernoblisk.com,redirect
114,http://vural-electronic.com,redirect
115,http://www.purplehorses.net/?page=bleach-244-online,redirect
116,http://www.wildsap.com/?kkk=bleach-episodes-244,redirect
117,http://www.ohiomm.com/?page=bleach-244-vosta,redirect
118,http://be-funk.com/?kkk=bleach-244-english-sub,redirect
119,http://revistaelite.com/?topic=bleach-244-english-sub,redirect
120,http://www.wrestlingexposed.com/faq.php?t=bleach-244-english-sub,redirect
121,http://revistaelite.com/?topic=bleach-244-raw,redirect
122,http://santacruzsuspension.com/?j=bleach-episode-245,redirect
123,http://www.sitepalace.com/w0rmreaper/NoVaC.jpeg,Trojan
124,http://downloads-whatsapp.com/whatsapp-for-samsung.php,Trojan
